User Story;Our Evaluation;AQUSA Evaluation;OpenAIs GPT-5 Evaluation;Claude 4.5 Sonnet Evaluation;Gemini 2.5 Flash Evaluation;DeepSeek-V3.1 Evaluation
As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.;No violation;No violation;Minimal;Minimal;No violation;No violation
As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account.;No violation;No violation;Minimal;No violation;No violation;No violation
As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider.;Atomic;Atomic;No violation;No violation;Atomic;No violation
As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.;Unique;No violation;Unique;No violation;Unique;No violation
As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule.;Minimal;Atomic, Minimal;Atomic, Minimal;Atomic;Atomic;Atomic, Minimal
As a user, I want to add donation centers as favorites on my profile, so that I can view them later.;No violation;No violation;No violation;No violation;No violation;No violation
As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.;No violation;No violation;No violation;No violation;No violation;No violation
As a user, I want to be able to view a map display of the public recycling bins around my area.;No violation;No violation;Uniform;Uniform;Uniform;Uniform
As a user, I want to be able to view a map display of the special waste drop off sites around my area.;No violation;No violation;Uniform;Uniform;Uniform;Uniform
As a user, I want to be able to view the safe disposal events currently being organised around my area.;No violation;No violation;Uniform;Uniform;Uniform;Uniform
As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.;Unique;No violation;Unique;Unique;Unique;Unique
As a user, I want to view user documentation for the website, so that I know how to use the web app.;No violation;No violation;No violation;No violation;No violation;No violation
As a user, I want to get feedback when I enter an invalid zip code.;No violation;No violation;Uniform;Uniform;Uniform;Uniform
As a user, I want to be able to create an account, so that I can create my own profile.;No violation;No violation;No violation;No violation;No violation;No violation
As an admin, I want to be able to add or remove recycling facilities' information, so that users get the most recent information.;Atomic;Atomic;Atomic;Atomic;Atomic, Unique;No violation
As an admin, I want to be able to read users' feedback and complaints, so that we can add more features and keep improving the service we provide to them.;Atomic;No violation;No violation;Atomic;No violation;No violation
As a user, I want to be able to check transaction history and keep a record of it, so that I can go back when needed.;Atomic;Atomic;Atomic;Atomic;Atomic;Atomic
As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites.;No violation;No violation;Minimal;Minimal;No violation;No violation
As an admin, I want to view a dashboard that monitors all the sites' statuses, so that I can have a sense of what people are doing on our sites and know the service status.;No violation;No violation;Atomic, Minimal;Atomic, Minimal;No violation;Atomic
As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.;No violation;No violation;No violation;Minimal;No violation;No violation
As an executive, I want to have full access to data related to my company, so that I can have a sense of my company's performance.;No violation;No violation;No violation;No violation;No violation;No violation
As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.;No violation;No violation;No violation;No violation;No violation;No violation
As an employee from the HR department, I want to have access to the full information of all employees working for this business.;No violation;No violation;Uniform;Uniform;Uniform;Uniform
As a developer, I want to access an API from the website, so that I can integrate it and implement certain features in my own iOS application.;No violation;No violation;Minimal;Atomic, Minimal;No violation;No violation
As a user, I want to be able to receive tempting rewards, so that I have a reason to use the website.;No violation;No violation;No violation;No violation;No violation;No violation
As an admin, I want to handle all users' activities, so that I can manage more efficiently.;No violation;No violation;No violation;No violation;Atomic;No violation
